Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,ppi,Gaming,Touchscreen,Cpu Brand,Gpu brand
Alienware,17.3,16,1024,Windows,29,3999.0,1920.0,1080.0,127.33567457123111,1,0,Intel Core i7,NVIDIA
Dell,15.6,8,500,Windows,4.1,1148.77,1920.0,1080.0,141.21199808219862,0,0,Intel Core i5,Intel 
HP,15.6,32,1024,Windows,3.78,1031.0,1920.0,1080.0,141.21199808219862,0,1,Intel Core i7,Intel 
Lenovo,15.6,8,256,Windows,5,599.99,1920.0,1080.0,141.21199808219862,0,0,AMD Processor,AMD
Dell,15.6,16,256,Windows,6.6,1327.77,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,Intel 
Lenovo,15.6,8,256,Windows,7,699.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i3,Intel 
ASUS,13.3,8,512,Windows,2.87,699.99,1920.0,1080.0,165.6321180513006,0,0,Intel Core i5,Intel 
ASUS,13.3,16,512,Windows,2.4,699.99,1920.0,1080.0,165.6321180513006,0,1,Intel Core i7,Intel 
Acer,15.6,4,512,Chrome OS,3.53,369.75,1920.0,1080.0,141.21199808219862,0,0,Celeron Processor,Intel 
Lenovo,15.6,20,1024,Windows,7,699.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i3,Intel 
Dell,15.6,8,500,Windows,7.15,189.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,Intel 
MSI,17.3,16,1024,Windows,9.9,699.99,1920.0,1080.0,127.33567457123111,1,0,Intel Core i7,Intel 
Dell,15.6,32,1000,Windows,29,2193.0,3456.0,1080.0,232.10383312024905,0,0,Intel Core i7,NVIDIA
HP,11.6,4,128,Others/Linux/Mac OS,8,429.0,1920.0,1080.0,189.90579052433606,0,0,Other Intel Processor,Intel 
MSI,15.6,16,256,Windows,4.1,882.9,1920.0,1080.0,141.21199808219862,1,0,Intel Core i5,NVIDIA
ASUS,17.3,16,1024,Windows,10.58,1769.99,1920.0,1080.0,127.33567457123111,1,0,AMD Processor,NVIDIA
HP,14.0,4,64,Windows,4.55,189.99,1366.0,768.0,111.93520355955211,0,0,Intel Core i7,Intel 
Dell,16.0,40,1024,Windows,8,699.99,1920.0,1080.0,137.68169813014364,0,0,Intel Core i7,NVIDIA
LG,17.0,16,2048,Windows,2.98,1799.26,2560.0,1600.0,177.58082130930077,0,0,Intel Core i7,Intel 
HP,14.0,8,8,Chrome OS,5,858.52,1920.0,1080.0,157.3505121487356,0,1,Other Intel Processor,Intel 
ASUS,15.6,8,128,Windows,4.41,429.0,1366.0,768.0,100.45466986113651,0,0,Intel Core i7,AMD
HP,16.0,16,256,Windows,6,1584.99,1920.0,1200.0,141.50971698084905,0,0,Intel Core i5,Intel 
