Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
ASUS,ASUS X550CA 15-Inch Laptop (OLD VERSION),15 Inches,‎1366*768 Pixels,Core i5,‎8 GB SO-DIMM,750 GB,‎Intel HD Graphics 4000,‎Windows 8,‎5.1 pounds,
Dell,Dell Latitude 5320 I7/3.0 16GB 256GB W10P,13.3,‎1920 x 1080 Pixels,Core i7,16 GB,‎SSD,,‎Windows 10 Pro,‎3.5 pounds,"$1,040.01 "
Dell,2019 Dell Latitude Rugged 5420 Laptop 14 - Intel Core i5 8th Gen - i5-8350U - Quad Core 3.6Ghz - 256GB SSD - 16GB RAM - 1920x1080 FHD - Windows 10 Pro (Renewed),14 Inches,‎1920x1080 MP,Core i5,16 GB,256 GB,‎Intel Integrated Graphics,‎Windows 10 Pro,‎4.9 pounds,$699.00 
Lenovo,"Lenovo IdeaPad 3 15ITL05 81X80055US 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i3 11th Gen i3-1115G4 Dual-core (2 Core) 3 GHz - 4 GB RAM - 128 GB SSD - Abyss Blue",15.6 Inches,‎1920 x 1080 Pixels,Core i3 Family,4 GB,128 GB,‎Intel UHD Graphics,‎Windows 10 Home,‎3.75 pounds,From $239.99
Dell,"Dell Precision 5000 5760 Workstation Laptop (2021) | 17"" 4K Touch | Core i9-512GB SSD - 64GB RAM - RTX A3000 | 8 Cores @ 5 GHz - 11th Gen CPU - 6GB GDDR6 Win 10 Pro",17 Inches,‎3840x2400 MP,Core i9,64 GB,512 GB,‎Nvidia RTX A3000,‎Windows 10 Pro,‎4.7 pounds,
HP,"HP 250 G7 15.6"" LCD Notebook - Intel Core i5 (8th Gen) i5-8265U Quad-core (4 Core) 1.60 GHz - 4 GB DDR4 SDRAM - 500 GB HDD - Windows 10 Home 64-bit (English) - 1366 x 768 - Intel UHD Graphics 620",15.6 Inches,‎1366 x 768 Pixels,8032,4 GB,‎HDD,‎Intel UHD Graphics 620,‎Unknown,‎5.4 pounds,$599.00 
HP,"HP Laptop with Windows Home in S Mode – Intel Pentium Processor - 8GB RAM - 256GB SSD Storage – Silver (15-dy0025tg), 15-15.99 inches",15.6 Inches,‎1360 x 768 Pixels,Pentium N5000,8 GB,256 GB,‎Integrated/On-Board Graphics,‎Windows 10 Home,‎5.17 pounds,$286.00 
LG,"LG Gram 16"" WQXGA Ultralight Laptop (2023 New) | 12-Core Intel i7-1260P | 2560x1600 IPS Screen | Backlit Key | Fingerprint | Thunderbolt4 | WiFi 6E | 16GB LPDDR5 RAM | 1TB SSD Storage | Win11 Pro",16 Inches,‎2560 x 1600 Pixels,Core i7 Family,16 GB,1 TB,‎Intel Iris Xe Graphics,‎Windows 11 Pro,‎7 pounds,"From $1,649.00"
HP,"HP Chromebook 14"" Laptop, Intel Celeron N4120 Processor, Intel UHD 600 Graphics, 4 GB RAM, 64 GB SSD, Chrome OS (14a-na0240nr, Ceramic White)",14 Inches,‎1366 x 768 Pixels,Celeron N4020,4 GB,‎SSD,‎Intel UHD Graphics 600,‎Chrome OS,‎3.24 pounds,From $269.99
Dell,Dell 2023 Inspiron I5420 14'' 2.2K Anti-Glare Laptop 12th Gen Intel 10-Core 1255U NVIDIA GeForce MX570 2GB GDDR6 64GB DDR4 4TB NVMe SSD HDMI WiFi AX USB-C w/DP Backlit KB Fingerprint Windows 10 Pro,14 Inches,‎1920 x 1080 Pixels,Core i7 Family,64 GB,4 TB,‎NVIDIA GeForce MX570,‎Windows 10 Pro,‎7 pounds,
Lenovo,"Lenovo ThinkPad P15 Gen 1 20ST006XUS 15.6"" Mobile Workstation - 4K UHD - 3840 x 2160 - Intel Core i7 (10th Gen) i7-10875H Octa-core (8 Core) 2.30 GHz - 32 GB RAM - 1 TB SSD - Glossy Black - Windows 1",15.6 Inches,‎3840 x 2160 Pixels,Core i7,32 GB,1 TB,,‎Windows 10 Pro,,
Lenovo,"Lenovo IdeaPad Flex 5 5i 15.6"" FHD 2-in-1 Touchscreen (Intel 4-Core i7-1165G7, 16GB RAM, 512GB PCIe SSD, Webcam, Active Stylus), Full HD IPS Convertible Laptop, Fingerprint, Backlit, Windows 11 Home",15.6 Inches,‎1920x1080 Pixels,Core i7,16 GB,512 GB,‎Intel Iris Xe Graphics,‎Windows 11 Home,‎5.79 pounds,
